"","tweet_id","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone"
"1","1292390400","neutral","1","","","Delta","","JetBlueNews","","0","@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch","","2015-02-16 23:36:05 -0800","USA","Sydney"
"2","1741189120","negative","1","Can't Tell","0.6503","Delta","","nesi_1992","","0","@JetBlue is REALLY getting on my nerves !! ğŸ˜¡ğŸ˜¡ #nothappy","","2015-02-16 23:43:02 -0800","undecided","Pacific Time (US & Canada)"
"3","-1542963200","negative","1","Late Flight","0.346","United","","CPoutloud","","0","@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.","","2015-02-16 23:48:48 -0800","Washington DC",""
"4","2059558914","negative","1","Late Flight","1","United","","brenduch","","0","@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving have to wait","","2015-02-16 23:52:20 -0800","","Buenos Aires"
"159","583155714","neutral","0","","0","Delta","","heykaitlinmary","","0","@JetBlue Hopefully next time! Can I send you my future itineraries so the next one can be planned when I'm there? ğŸ˜‚ğŸ˜‚","","2015-02-17 09:06:22 -0800","california â˜€ï¸","Pacific Time (US & Canada)"
"160","-184389632","negative","1","Flight Attendant Complaints","0.6812","United","","BhutanOrient","","0","@united +what took me aback was the response by the flight attendant who put the responsibility squarely back on passenger's shoulders. +","","2015-02-17 09:06:26 -0800","Bhutan","Pacific Time (US & Canada)"
"161","-87551998","positive","0","","","Delta","","NMSpedaliere","","0","@JetBlue she was a phone agent pls do! Peggy was pleasant informative and delivered. â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸","[40.78521842 -74.07232899]","2015-02-17 09:06:58 -0800","Old Greenwich CT","Eastern Time (US & Canada)"
"162","-473415679","negative","1","Customer Service Issue","1","US Airways","","tamajared","","0","@USAirways The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?","","2015-02-17 09:08:14 -0800","DC / MIA","Quito"
"163","1417822208","negative","1","Flight Attendant Complaints","0.7033","United","","BhutanOrient","","0","@united BTW is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation? +","","2015-02-17 09:08:19 -0800","Bhutan","Pacific Time (US & Canada)"
"164","-485986304","negative","1","Flight Booking Problems","0.6809","US Airways","","AndreybohdanY","","0","@USAirways That is not an excuse to have such a poor website Flight Booking Problems options! My yearly vacation is about to fall through ubetter do smth!","","2015-02-17 09:08:35 -0800","",""
"316","2030583810","negative","1","Cancelled Flight","0.6227","Southwest","","BernhardtJH","","0","@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund","","2015-02-17 10:20:01 -0800","Columbus OH","Eastern Time (US & Canada)"
"317","-1182244863","neutral","0","","0","United","","rdahlstrom99","","0","@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl","","2015-02-17 10:20:25 -0800","ÃœT: 40.635407-73.991869",""
"318","-570286079","positive","1","","","Southwest","","StarkTTT","","0","@SouthwestAir yes. Thank you. Oct 25-oct 31","","2015-02-17 10:20:46 -0800","ChÃ¢teau d'If","Central Time (US & Canada)"
"319","1058332672","negative","1","Can't Tell","0.6551","Southwest","","joycarmody","","0","@SouthwestAir You need to be more accommodating to your loyal customers. Not happy now!","","2015-02-17 10:20:49 -0800","Tampa",""
"320","348274688","negative","1","Customer Service Issue","1","Southwest","","justinmcintosh","","1","@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!","","2015-02-17 10:21:03 -0800","iPhone: 36.205651-86.695243","Central Time (US & Canada)"
"321","935878656","negative","0","Cancelled Flight","0.3571","Southwest","","RobinDamato","","0","@SouthwestAir flt 648 from Buf to MCO. Conf#FGKXV5. Please also look into reimburse for car 587701925COUNT that I had to Cancelled Flight","","2015-02-17 10:21:16 -0800","Orchard Park NY",""
"587","155734016","neutral","1","","","Virgin America","","itsjulianking","","0","@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs","","2015-02-17 12:39:42 -0800","P H I L A D E L P H I A","Eastern Time (US & Canada)"
"588","1162346500","neutral","1","","","Delta","","janj757","","0","@JetBlue what is the name of this tailfin? http://t.co/qxV45MV0Ug","","2015-02-17 12:40:47 -0800","North Carolina","Eastern Time (US & Canada)"
"589","2063732737","negative","0","Customer Service Issue","0.6641","United","","Maslowchild","","0","@united Thank you. Yes I was hoping to speak with someone directly but appreciate the link nonetheless. :)","","2015-02-17 12:42:18 -0800","West Coast of America","Alaska"
"590","349511681","positive","0","","","US Airways","","zachupton","","0","@USAirways how about a drink voucher for the next flight?? #winkwink","","2015-02-17 12:42:22 -0800","Beavercreek Ohio",""
"591","1149378560","neutral","1","","","Virgin America","","RyScanlon","","0","@VirginAmerica Dear Virgin customer while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!","","2015-02-17 12:42:33 -0800","","Atlantic Time (Canada)"
"592","776499200","negative","1","Lost Luggage","1","United","","rizolltizide","","0","@united Supposedly they're out for delivery. I'll believe it when I see it.","","2015-02-17 12:42:39 -0800","St. Pete","Eastern Time (US & Canada)"
"593","2118680576","negative","1","Late Flight","1","United","","sslluvsbooks","","0","@united Our flight was originally supposed to leave at 1:40pm &amp; now we won't leave until 5. This is the 2nd time this has happened","","2015-02-17 12:43:39 -0800","Loving the Languageof Literacy","Eastern Time (US & Canada)""694","-1467478015","positive","1","","","Southwest","","EAdamshick","","0","@SouthwestAir Amazing customer service as well. Will definitely fly with you guys again if my instrument is involved. #10/10","","2015-02-17 13:43:56 -0800","",""
"695","252190720","negative","1","Late Flight","1","US Airways","","GGoodie56","","0","@USAirways flight #654 sitting at JFK with delays for 3-1/2 hrs! No employees to load bags? #terrible","","2015-02-17 13:45:22 -0800","Wading River",""
"696","-1102553088","neutral","1","","","United","","MoonSetGallery","","0","@united Got it.  I am following the United page.","","2015-02-17 13:45:24 -0800","Southern New Jersey","Eastern Time (US & Canada)"
"697","201854976","neutral","1","","","United","","michaelvandijk1","","0","@united do you think there Will problems at Newark NJ on Saturday due to expected snow?","","2015-02-17 13:45:47 -0800","Nederland","Amsterdam"
"698","1431597056","positive","1","","","Delta","","vincenzolandino","","0","First base already? I like your style @JetBlue","","2015-02-17 13:46:06 -0800","NYC | CT","Eastern Time (US & Canada)"
"699","-1933017087","negative","1","Customer Service Issue","0.6498","US Airways","","Ltos5363","","0","@USAirways  If you can waive a fee at time of Cancelled Flightation you CAN WAIVE IT AT A FUTURE DATE! #usairways #ripoff #poorcustomerservice","","2015-02-17 13:46:21 -0800","South Shore MA","Eastern Time (US & Canada)"
"700","633888768","positive","1","","","US Airways","","Logunov_Daniil","","0","@USAirways YOU ARE THE BEST AIRWAYS! Follow me please!!!!!ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™","","2015-02-17 13:46:50 -0800","Russia Ğ Ğ¾ÑÑĞ¸Ñ","Abu Dhabi"
"701","231215104","negative","1","Cancelled Flight","1","US Airways","","Ltos5363","","0","@USAirways Flight Cancelled Flighted because of #Neptune Could not get to my destination. #notmyfault  #waive$200fee #ripoff #poorcustomerservice","","2015-02-17 13:47:36 -0800","South Shore MA","Eastern Time (US & Canada)"